eursta - European Starling
spotow - Spotted Towhee
houspa - House Sparrow
redcro - Red Crossbill
barswa - Barn Swallow
sonspa - Song Sparrow
cubthr - Cuban Thrush
houwre - House Wren
comrav - Common Raven
gbwwre1 - Gray-breasted Wood-Wren
rewbla - Redwinged Blackbord
norcar - Northern Cardinal
mallar3 - Mallard
amerob - American robin
bewwre - Bewick's Wren
carwre - Carolina Wren
swathr - Swainson's Thrush
rubpep1 - Rufous-breasted Pewee
bncfly - Brown-capped Flycatcher
rucspa1 - Rufous-collared Sparrow
